name,hotel_url,adresse,rang,nbr_avis,note,prix
hotelF1 Paris Porte de Châtillon,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554347&all_sr_blocks=154996008_93782682_2_2_0&highlighted_blocks=154996008_93782682_2_2_0&matching_block_id=154996008_93782682_2_2_0&sr_pri_blocks=154996008_93782682_2_2_0__5224&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
21/23 Avenue de la Porte de Châtillon, 14e arr., 75014 Paris, France
", Bien bien, · 14 972 expériences vécues,Avec une note de 7.3,"
€ 52
"
Hotel Paris Opera Affiliated by Meliá,https://www.booking.com/hotel/fr/hotel-paris-opera-affiliated-by-melia.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-26&checkout=2024-04-27&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554347&all_sr_blocks=5439101_91988884_2_2_0&highlighted_blocks=5439101_91988884_2_2_0&matching_block_id=5439101_91988884_2_2_0&sr_pri_blocks=5439101_91988884_2_2_0__32626&nad_id=c97fe473-29fa-4527-b82b-ec8f1b9fe00a_0&nad_cpc=1.24&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IkZEUXBjWWdpQ3Q5cDAxbHhSejNsSEFJZU9EekFqa3Q4aFNZTzB4MGdyaVJUQjlTMThMdWFDNml5a0wyMmlDcklVb1BmVFk4Rlgzdk5sbDcxMHRiWXI4RTMwenRZbk1ONnFsU0pLQllQOGlQWGFyM21SS1grUVR4bzhoUnJEQzZ3Wmx4M2VCK0Eyc01xbVdHUEtNeVA3cEx6VnluVEJ5N09Gb1JkVGV5S3VzQU9YWG02dEZjMDk0QmEzR2FWRTNtb1piSGZTV0xNeG9QVzVITWxIVjFUZXhzdG9hc24zSjFrVmViZlRzSExXR2F0TlFqSXc0SENMUE5vNHFRK09LTVFNeTkzYmpJcVRkRWZneXJ1anJTNlN3YjV0cCtXY2dzQytIaXJDUnR2NDR6S2w1bzU0TDNka0hCV1V0V3A5OWZqc2V1Y3BRbEZ6VzEvdG93blRqbFBBVzNITlU3TWpNUzNraHZwYzJ3REljTldjT0FDV2diRVV4Ri9YUUhXZEE0RUtlZy8wQXg1bmZpZGovdVhaMlQzUUNjNjZhZmlxM1Y4Y2Uzc2swbzBSR1VKSDlxUG9oQnl1djBSWnlFZnlXVy9wM1ZldUVFR1Z2dDFmYjdBZkxLdGVZbGNJN1Z3YWZ1c1pMczhjZG9XeWNiK3QvRTVqeDdoNFBuWExNYUdqcHc0OVdLSFNocnJFdTM2YWRuZ3RaSVUrRXdKV1N5b3hWWThsdUFtUzM0WkhkbDZBajlwVlBUaHdaSEhqUDR4dXlmaHdUalJnSksvRmVDM1lZazMycVRWbmZEWDBOVytEUVFBeXBDQ3hrSE4wZ2dReEVPM2MraTU1a1BIT1FXNHhpMk03WVQvaEZjSTEzNVArVnFzN1NHOTQxTDRCY3B1eGRxRHdNeE1KNGpXejNBcmlrcFVkRXpZVHhHQWQyQkJzNzVZZVp6bmxONC8wNU9aTEJ3ejVaZndlUDJiNlVyQ3UxRHZJeFRSdWp6VjI1MGJER2l3OTZ1YUVVcE9VeFNrY2Y1MzlSK2tYOVRFYzVHVkpvNWVmaW1tWm1uN21NaUV4RVFZTWtZS2RhTTl4c0tEQzdlYktOSFVLUHBYRjZCbGo3NG13eUpBelp0TDlpOXhXd25UNzBrZklleHlUT004dVFHeEZIRGlycXRGcm1YNzY3Yy9VbTFQM3RSZWF4ckROeTJMQmJld1NHOUZOTlFqcHhFMndrVy9UVGc0Vm1na3U2dWhKaUEyM3hpaUNLN1pobmt2WTBxUXpPeVhLNTdBV0hTVkYwd1BrQm1IT3B2YXNXNXNGUDMxQlM5cE1CdXd0b2t1VWZTM3crUzJtN1E1emRsZHVOVzZhYkFWSVhjczRIL2syTk43N0FPalhPakJOSFh6YXhpdnRWaE9YNUlRWnpjRjhPcHVGTk5LR05vVnNZVFVEWW1GOXcvdGVjdlovL3YvclIwSWdIMnI2Mk5teUZyelVYMG5qYkJZa2t5YlUyeGVFZVlvdDFvTHJUVGhRYVl3emROblpra0ZTYkRta3lmY0RFTXlzMFBLRVY1WWdtRUk3Qms0dXlSMEZYNlR0THN0TUVRQThXU1RKamh3ek11YldSYUR1Rkh4clJqKzZFaWRoU3hRWHN0TWJrbnFMOVYwbWg2OUQ4U1JSNWJNQmEwQTYyL1J6NjE2cUVDc1l1REZDTkRFNHkyRzNXTG1DSzlxdnlUK1pKamRUdVhhbm9vRGVEbGt3VEh1dnV2Y2ovR052ZkEvNVp4NEg5V0lydFY5T0dLNlE5ZEVRcTdaZ0k3WTlyVGlCbXpQSU5mZ3RzMVExZ1R5aWNpN0R3eXdEUEFHRGdMSjRSVkdpNXRFZ1VKTHhMWUNFS01pOG1ZRk85UUtsUUJvRURlSUxyTjZKRUw1WnpVZVZnMnlJeGJUcDdHMW5EUmdLZ0lZTGR3UnZQUGJUWjBzeXFMTjdNSlBIZ2tmOFVES2lSb3pBbjVPK09mUlZoTVU1dE1MNzFsMWZvMTZpQ3ErUlYybXZpUUhBZHZoZ3FZT3hyNW5qQm9BUGVTODRobUF3OGsyVVd1L3lZUXlGVkJuTGRVZzZ0dUJ4VWdXQVJKKzVLNC9VbXhEaWVJeGYwWGlVYTBScmRkUXZVMndxQ204N1NhT3c3QTFBK2VXTmUwM3VQNTlNdmZwYVpiTHR6Tm8yMDB0RU8yemR1dkdhOFV6R3dheW5HdExDcVE5Q2RvOUxDU0psVytrZ0RJdTViQXBsTmFlWWRONWpBVU1uc25BTE9tK0ZnREovbW5pQzNJZWRLN0NISHViZlV3NGhobVNPejJZNEsvZnBRaXRvN0E0Mkk1eEtmWUpaK0VvODROWEhqT2RWWGFvdUJEc0ZmZDgvbWtVUG92bWd4bDZUb1Yyb0dodlFDckdScmJqeHhhQS8vOGFiOUxhWUh3ZHkrY1NxanVsbnRBTEFpdkwxZStnVWE0a1FpcS80dGI1bUd2UlVhK3RzVVY1MG1vYzQ2V0ozVTNiU2dQZUwvaGx5b2lMVnBPY20yNFNHZGd4d1dGRU9LWU55V3o1cWgxMlU2ZWlTRC9aUzluNHJvSzAxUGV6dXk2VnJpejFXVitEOHMxMThNRThnbGRtVzFFSGFHcFlDZmZUV2VCSHVnZFdTQnMrMDNlejl1YVJpdkVraXdJZ2pzblhZaUEvZTM1TUN3clVWZFkzZHIra2JNMDdNOEZyMnNrOGV3V0hydVBEWTUwbzFJVjJsUGlNZTcwNnVrcVNRNXFxQUpJK2hQYUJJVDk5WXpOMmJ3Z29rbzExeXd1VFJtckdnVFRWU0JTbVdMWDdrMGxIcDNrd3hTYW01S2xUdmpkcWJqTC9vSmNXMDgwclAzOGJiNkp0aU5RQi9EZTdJOTR2UTlXZGZVbFl3VkltaDY1azlaMGpYWDNZc285a2NtTjdOaDM0akZadVQ5SnEyUjRheXZScXR2bFRnbVVPYVBYM0tuandHcmVUTURvUE1uUWFqeSs1eUp0VzdUYUc2WTYrZE4zaU5SbEhveDBJOElKZGFwTDFmSzJIZ1c1YTF1RnA0Z3RRd0RwYnd4cmpxZUw4ZE1XRmNCVHM2VXNlZW5iMVJNL1J6bkk5K3M3UWo3T0FBYVBaZEFJdktRZUgxL0RHVHlkRFZBdkVqVzB1K2l6bHRaZmFNVDVXN0ZPSWg5TkxHT0g3RGVRN2QxL0lrdk8yNWhqUm1wMW00blFFMk9hZlJiMnJ5eDZYZlg5RjJzbE9jZ1V2OUQ2Q0FTcm9SZ0swaXowakJlQVZYc1YyNjl0a0kxb1RBdERBUWxXUzNyVkFOcUNHdm93SiJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
3 Boulevard Montmartre, 2e arr., 75002 Paris, France
", Bien bien, · 452 expériences vécues,Avec une note de 7.5,"
€ 326
"
Hotel Europe BLV,https://www.booking.com/hotel/fr/de-l-39-europe-belleville.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554347&all_sr_blocks=168004503_89685857_2_0_0&highlighted_blocks=168004503_89685857_2_0_0&matching_block_id=168004503_89685857_2_0_0&sr_pri_blocks=168004503_89685857_2_0_0__6500&from=searchresults#hotelTmpl,"
10, Rue Louis Bonnet, 11e arr., 75011 Paris, France
", Décevantdécevant, · 3 088 expériences vécues,Avec une note de 4.8,"
€ 65
"
Baba Hotel,https://www.booking.com/hotel/fr/baba.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554347&all_sr_blocks=915328003_362981789_0_2_0&highlighted_blocks=915328003_362981789_0_2_0&matching_block_id=915328003_362981789_0_2_0&sr_pri_blocks=915328003_362981789_0_2_0__9621&from=searchresults#hotelTmpl,"
15 rue du roi d'Alger, 18e arr., 75018 Paris, France
", Très bientrès bien, · 302 expériences vécues,Avec une note de 8,"
€ 96
"
Hotel Luna Park,https://www.booking.com/hotel/fr/luna-park.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-26&checkout=2024-04-27&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554348&all_sr_blocks=218875404_353164435_0_0_0&highlighted_blocks=218875404_353164435_0_0_0&matching_block_id=218875404_353164435_0_0_0&sr_pri_blocks=218875404_353164435_0_0_0__7645&from=searchresults#hotelTmpl,"
1 rue jacquard, 11e arr., 75011 Paris, France
", Bien bien, · 5 575 expériences vécues,Avec une note de 7.9,"
€ 76
"
B&B HOTEL Paris Porte de la Villette,https://www.booking.com/hotel/fr/b-amp-b-paris-porte-de-la-villette.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554348&all_sr_blocks=157579901_88527006_0_0_0&highlighted_blocks=157579901_88527006_0_0_0&matching_block_id=157579901_88527006_0_0_0&sr_pri_blocks=157579901_88527006_0_0_0__8428&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
4 Rue Emile Reynaud, 19e arr., 75019 Paris, France
", Bien bien, · 121 expériences vécues,Avec une note de 7,"
€ 84
"
HotelF1 Paris Saint Ouen Marché Aux Puces,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-montmartre.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554348&all_sr_blocks=138838309_93780764_2_2_0&highlighted_blocks=138838309_93780764_2_2_0&matching_block_id=138838309_93780764_2_2_0&sr_pri_blocks=138838309_93780764_2_2_0__4832&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
29 rue du docteur Babinski, 18e arr., 75018 Paris, France
", Agréableagréable, · 14 844 expériences vécues,Avec une note de 6.4,"
€ 48
"
Tipi,https://www.booking.com/hotel/fr/tipi.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-05&checkout=2024-04-06&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554348&all_sr_blocks=2692102_184334579_0_0_0&highlighted_blocks=2692102_184334579_0_0_0&matching_block_id=2692102_184334579_0_0_0&sr_pri_blocks=2692102_184334579_0_0_0__9550&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
75, Rue Daguerre, 14e arr., 75014 Paris, France
", Bien bien, · 3 382 expériences vécues,Avec une note de 7.1,"
€ 96
"
Ideal Hotel,https://www.booking.com/hotel/fr/ideal-paris.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-19&checkout=2024-04-20&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554348&all_sr_blocks=100015115_335000073_0_0_0&highlighted_blocks=100015115_335000073_0_0_0&matching_block_id=100015115_335000073_0_0_0&sr_pri_blocks=100015115_335000073_0_0_0__6277&from=searchresults#hotelTmpl,"
49 rue des Trois Bornes, 11e arr., 75011 Paris, France
", Passablepassable, · 1 445 expériences vécues,Avec une note de 5.4,"
€ 63
"
ibis budget Paris Porte De Montmartre,https://www.booking.com/hotel/fr/etap-paris-porte-de-montmartre.fr.html?label=gog235jc-1FCAEoggI46AdIDVgDaE2IAQGYAQ24ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AuPdj7AGwAIB0gIkNGQ1Y2JhZjctNThkMC00MGQzLWE2OGUtYjAyZjlkODJmMzQ32AIF4AIB&aid=397594&ucfs=1&arphpl=1&checkin=2024-04-12&checkout=2024-04-13&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=27d76ed5f0980151&srepoch=1711554348&all_sr_blocks=18302405_94330518_3_2_0&highlighted_blocks=18302405_94330518_3_2_0&matching_block_id=18302405_94330518_3_2_0&sr_pri_blocks=18302405_94330518_3_2_0__6407&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"
45 rue du Docteur Babinski, 18e arr., 75018 Paris, France
", Agréableagréable, · 9 845 expériences vécues,Avec une note de 6.1,"
€ 64
"
